iso_code,country,year,co2,consumption_co2,cumulative_co2,population
AFG,Afghanistan,2019,12.147,?,180.688,38041757
ALB,Albania,2019,4.863,5.851,280.968,2880913
DZA,Algeria,2019,166.642,?,4432.136,43053054
AND,Andorra,2019,0.502,?,14.605,77146
AGO,Angola,2019,23.487,?,660.062,31825299
AIA,Anguilla,2019,0.139,?,3.298,14872
ATG,Antigua and Barbuda,2019,0.486,?,21.096,97115
ARG,Argentina,2019,167.566,166.599,8274.235,44780675
ARM,Armenia,2019,5.529,5.472,377.446,2957728
ABW,Aruba,2019,0.851,?,75.168,106310
AUS,Australia,2019,414.517,375.457,18243.858,25203200
AUT,Austria,2019,67.962,91.621,5444.874,8955108
AZE,Azerbaijan,2019,38.725,40.37,2466.035,10047719
BHS,Bahamas,2019,2.638,?,167.181,389486
BHR,Bahrain,2019,34.439,18.954,891.343,1641164
BGD,Bangladesh,2019,94.215,115.667,1469.464,163046173
BRB,Barbados,2019,1.215,?,53.788,287021
BLR,Belarus,2019,61.022,63.509,4850.397,9452409
BEL,Belgium,2019,99.746,171.538,12459.393,11539326
BLZ,Belize,2019,0.658,?,18.48,390351
BEN,Benin,2019,7.315,9.318,104.962,11801151
BMU,Bermuda,2019,0.698,?,28.581,62508
BTN,Bhutan,2019,1.927,?,17.268,763094
BOL,Bolivia,2019,23.848,23.366,509.455,11513102
BES,Bonaire Sint Eustatius and Saba,2019,0.34,?,30.053,25983
BIH,Bosnia and Herzegovina,2019,24.847,?,933.366,3300998
BWA,Botswana,2019,6.925,18.429,143.883,2303703
BRA,Brazil,2019,485.793,503.981,15771.123,211049519
VGB,British Virgin Islands,2019,0.157,?,5.36,30033
BRN,Brunei,2019,9.958,9.967,350.217,433296
BGR,Bulgaria,2019,42.223,38.396,3793.766,7000117
BFA,Burkina Faso,2019,4.336,5.443,60.352,20321383
BDI,Burundi,2019,0.704,?,12.455,11530577
KHM,Cambodia,2019,15.329,19.863,142.918,16486542
CMR,Cameroon,2019,7.398,10.434,208.202,25876387
CAN,Canada,2019,582.39,575.406,33040.92,37411038
CPV,Cape Verde,2019,0.602,?,12.737,549936
CAF,Central African Republic,2019,0.21,?,10.356,4745179
TCD,Chad,2019,1.005,?,25.145,15946882
CHL,Chile,2019,86.129,93.648,2821.892,18952035
CHN,China,2019,10489.989,9442.835,224896.125,1433783692
COL,Colombia,2019,90.419,100.552,3309.998,50339443
COM,Comoros,2019,0.306,?,5.043,850891
COG,Congo,2019,3.291,?,75.364,5380504
COK,Cook Islands,2019,0.079,?,2.116,17547
CRI,Costa Rica,2019,8.818,13.194,247.155,5047561
CIV,Cote d'Ivoire,2019,10.48,15.391,323.862,25716554
HRV,Croatia,2019,17.779,21.395,1061.562,4130299
CUB,Cuba,2019,22.525,?,1594.097,11333484
CUW,Curacao,2019,3.761,?,555.958,163423
CYP,Cyprus,2019,7.34,7.779,286.53,1198574
CZE,Czechia,2019,100.812,103.514,11829.765,10689213
COD,Democratic Republic of Congo,2019,2.689,?,190.707,86790568
DNK,Denmark,2019,30.897,47.745,4056.438,5771877
DJI,Djibouti,2019,0.402,?,18.558,973557
DMA,Dominica,2019,0.157,?,4.668,71808
DOM,Dominican Republic,2019,27.52,28.27,719.948,10738957
ECU,Ecuador,2019,36.758,44.375,1166.778,17373657
EGY,Egypt,2019,225.882,226.889,6101.042,100388076
SLV,El Salvador,2019,6.853,8.616,225.746,6453550
GNQ,Equatorial Guinea,2019,10.27,?,169.21,1355982
ERI,Eritrea,2019,0.835,?,17.177,3497117
EST,Estonia,2019,12.38,14.924,1619.742,1325649
SWZ,Eswatini,2019,1.013,?,39.734,1148133
ETH,Ethiopia,2019,16.371,21.578,243.907,112078727
FRO,Faeroe Islands,2019,0.736,?,29.953,48677
FJI,Fiji,2019,1.392,?,48.035,889955
FIN,Finland,2019,42.546,62.461,3151.793,5532159
FRA,France,2019,315.931,422.202,38452.047,65129731
GUF,French Guiana,2019,0.728,?,26.762,290823
PYF,French Polynesia,2019,0.827,?,27.955,279285
GAB,Gabon,2019,4.488,?,254.109,2172578
GMB,Gambia,2019,0.547,?,13.466,2347696
GEO,Georgia,2019,10.48,10.606,649.413,3996762
DEU,Germany,2019,711.428,824.74,91991.305,83517046
GHA,Ghana,2019,16.918,20.556,355.317,30417858
GRC,Greece,2019,65.736,53.754,4021.436,10473452
GRL,Greenland,2019,0.554,?,32.536,56660
GRD,Grenada,2019,0.332,?,7.968,112002
GLP,Guadeloupe,2019,2.562,?,81.256,400048
GTM,Guatemala,2019,21.934,26.126,425.993,17581476
GIN,Guinea,2019,3.717,3.717,82.841,12771246
GNB,Guinea-Bissau,2019,0.314,?,9.807,1920917
GUY,Guyana,2019,2.487,?,98.378,782775
HTI,Haiti,2019,3.289,?,73.296,11263079
HND,Honduras,2019,10.789,12.795,246.662,9746115
HKG,Hong Kong,2019,41.789,108.227,1589.049,7436157
HUN,Hungary,2019,49.08,65.457,4962.515,9684680
ISL,Iceland,2019,3.551,?,148.888,339037
IND,India,2019,2625.968,2410.473,51974.697,1366417756
IDN,Indonesia,2019,660.594,673.358,13810.46,270625567
IRN,Iran,2019,733.366,724.934,18169.404,82913893
IRQ,Iraq,2019,222.991,?,4445.706,39309789
IRL,Ireland,2019,37.275,41.235,2190.712,4882498
ISR,Israel,2019,62.394,79.638,2323.342,8519373
ITA,Italy,2019,339.772,450.146,24435.241,60550092
JAM,Jamaica,2019,8.045,8.39,445.426,2948277
JPN,Japan,2019,1105.929,1288.063,64594.392,126860299
JOR,Jordan,2019,25.745,34.11,675.815,10101697
KAZ,Kazakhstan,2019,295.869,228.603,13616.905,18551428
KEN,Kenya,2019,18.347,28.04,450.881,52573967
KIR,Kiribati,2019,0.068,?,2.017,117608
KWT,Kuwait,2019,96.651,89.689,2788.581,4207077
KGZ,Kyrgyzstan,2019,11.018,16.733,850.262,6415851
LAO,Laos,2019,33.932,29.963,144.169,7169456
LVA,Latvia,2019,7.648,12.606,943.502,1906740
LBN,Lebanon,2019,26.658,?,707.465,6855709
LSO,Lesotho,2019,2.321,?,61.799,2125267
LBR,Liberia,2019,1.093,?,51.508,4937374
LBY,Libya,2019,54.509,?,2085.57,6777453
LIE,Liechtenstein,2019,0.148,?,5.97,38020
LTU,Lithuania,2019,13.923,21.624,1544.048,2759631
LUX,Luxembourg,2019,9.752,22.435,745.511,615730
MDG,Madagascar,2019,4.05,5.307,93.09,26969306
MWI,Malawi,2019,1.588,3.338,49.306,18628749
MYS,Malaysia,2019,278.659,266.082,5799.356,31949789
MDV,Maldives,2019,1.794,?,23.115,530957
MLI,Mali,2019,3.688,?,59.929,19658023
MLT,Malta,2019,1.669,5.259,102.996,440377
MHL,Marshall Islands,2019,0.151,?,3.265,58791
MTQ,Martinique,2019,2.348,?,85.925,375557
